T1,Q1,AT1,I1,V1
292.15,2.82854937187392,0,15,-3.79550828317213
292.15,2.82464123441355,0,15,-3.79576250407078
292.15,2.82076727924112,0,15,-3.7960141544885
292.15,2.81692737139127,0,15,-3.7962632646908
292.15,2.81312137091541,0,15,-3.79650986457536
292.15,2.80934913309636,0,15,-3.79675398367679
292.15,2.80561050865748,0,15,-3.79699565117145
292.15,2.80190534396488,0,15,-3.79723489588201
292.15,2.79823348122423,0,15,-3.79747174628213
292.15,2.79459475867148,0,15,-3.79770623050093
292.15,2.79098901075818,0,15,-3.79793837632752
292.15,2.78741606833094,0,15,-3.79816821121537
292.15,2.78387575880603,0,15,-3.79839576228666
292.15,2.78036790633828,0,15,-3.79862105633657
292.15,2.77689233198527,0,15,-3.79884411983752
292.15,2.77344885386637,0,15,-3.79906497894329
292.15,2.77003728731717,0,15,-3.79928365949319
292.15,2.76665744503904,0,15,-3.79950018701605
292.15,2.76330913724433,0,15,-3.79971458673427
292.15,2.75999217179691,0,15,-3.79992688356769
292.15,2.75670635434867,0,15,-3.80013710213752
292.15,2.75345148847165,0,15,-3.80034526677017
292.15,2.75022737578607,0,15,-3.80055140150098
292.15,2.74703381608458,0,15,-3.80075553007798
292.15,2.74387060745244,0,15,-3.80095767596554
292.15,2.74073754638403,0,15,-3.80115786234801
292.15,2.7376344278957,0,15,-3.80135611213323
292.15,2.73456104563499,0,15,-3.80155244795612
292.15,2.73151719198663,0,15,-3.80174689218209
292.15,2.72850265817473,0,15,-3.80193946691049
292.15,2.72551723436223,0,15,-3.80213019397796
292.15,2.72256070974663,0,15,-3.80231909496178
292.15,2.71963287265297,0,15,-3.80250619118312
292.15,2.71673351062367,0,15,-3.80269150371029
292.15,2.71386241050547,0,15,-3.80287505336193
292.15,2.71101935853358,0,15,-3.80305686071013
292.15,2.70820414041268,0,15,-3.80323694608355
292.15,2.70541654139578,0,15,-3.80341532957048
292.15,2.70265634636004,0,15,-3.80359203102184
292.15,2.69992333988026,0,15,-3.80376707005416
292.15,2.69721730629959,0,15,-3.8039404660525
292.15,2.69453802979828,0,15,-3.80411223817337
292.15,2.6918852944595,0,15,-3.80428240534754
292.15,2.68925888433353,0,15,-3.80445098628288
292.15,2.68665858349917,0,15,-3.80461799946715
292.15,2.68408417612309,0,15,-3.80478346317068
292.15,2.68153544651761,0,15,-3.80494739544912
292.15,2.67901217919552,0,15,-3.80510981414607
292.15,2.67651415892377,0,15,-3.80527073689572
292.15,2.67404117077464,0,15,-3.80543018112543
292.15,2.67159300017536,0,15,-3.8055881640583
292.15,2.66916943295581,0,15,-3.80574470271566
292.15,2.6667702553944,0,15,-3.80589981391958
292.15,2.66439525426222,0,15,-3.8060535142953
292.15,2.66204421686567,0,15,-3.80620582027367
292.15,2.65971693108722,0,15,-3.80635674809352
292.15,2.65741318542479,0,15,-3.80650631380401
292.15,2.65513276902954,0,15,-3.80665453326696
292.15,2.65287547174199,0,15,-3.80680142215913
292.15,2.65064108412702,0,15,-3.80694699597448
292.15,2.64842939750721,0,15,-3.80709127002642
292.15,2.64624020399478,0,15,-3.80723425944998
292.15,2.64407329652246,0,15,-3.80737597920397
292.15,2.64192846887283,0,15,-3.80751644407317
292.15,2.6398055157064,0,15,-3.80765566867039
292.15,2.6377042325887,0,15,-3.80779366743858
292.15,2.6356244160159,0,15,-3.80793045465288
292.15,2.63356586343946,0,15,-3.80806604442265
292.15,2.63152837328968,0,15,-3.80820045069346
292.15,2.62951174499804,0,15,-3.80833368724907
292.15,2.62751577901847,0,15,-3.80846576771341
292.15,2.62554027684789,0,15,-3.80859670555244
292.15,2.6235850410454,0,15,-3.80872651407609
292.15,2.62164987525063,0,15,-3.80885520644015
292.15,2.6197345842013,0,15,-3.80898279564807
292.15,2.61783897374971,0,15,-3.80910929455281
292.15,2.61596285087833,0,15,-3.80923471585864
292.15,2.61410602371478,0,15,-3.80935907212292
292.15,2.61226830154564,0,15,-3.80948237575784
292.15,2.61044949482968,0,15,-3.80960463903216
292.15,2.60864941521029,0,15,-3.80972587407292
292.15,2.6068678755272,0,15,-3.80984609286711
292.15,2.60510468982716,0,15,-3.80996530726337
292.15,2.60335967337451,0,15,-3.81008352897357
292.15,2.60163264266035,0,15,-3.81020076957451
292.15,2.59992341541161,0,15,-3.81031704050946
292.15,2.59823181059917,0,15,-3.81043235308977
292.15,2.59655764844564,0,15,-3.8105467184964
292.15,2.59490075043195,0,15,-3.81066014778149
292.15,2.5932609393042,0,15,-3.81077265186989
292.15,2.59163803907921,0,15,-3.81088424156061
292.15,2.59003187504993,0,15,-3.81099492752835
292.15,2.58844227379004,0,15,-3.81110472032493
292.15,2.58686906315839,0,15,-3.81121363038076
292.15,2.58531207230263,0,15,-3.81132166800625
292.15,2.58377113166242,0,15,-3.81142884339321
292.15,2.58224607297237,0,15,-3.81153516661628
292.15,2.5807367292642,0,15,-3.81164064763424
292.15,2.57924293486883,0,15,-3.81174529629141
292.15,2.57776452541768,0,15,-3.81184912231899
292.15,2.57630133784394,0,15,-3.81195213533634
292.15,2.57485321038305,0,15,-3.81205434485234
292.15,2.57341998257326,0,15,-3.81215576026662
292.15,2.57200149525519,0,15,-3.8122563908709
292.15,2.57059759057188,0,15,-3.81235624585016
292.15,2.56920811196767,0,15,-3.81245533428397
292.15,2.56783290418724,0,15,-3.81255366514766
292.15,2.56647181327426,0,15,-3.81265124731354
292.15,2.5651246865695,0,15,-3.81274808955211
292.15,2.56379137270901,0,15,-3.8128442005332
292.15,2.56247172162179,0,15,-3.8129395888272
292.15,2.56116558452706,0,15,-3.81303426290617
292.15,2.55987281393161,0,15,-3.81312823114496
292.15,2.5585932636267,0,15,-3.81322150182238
292.15,2.55732678868458,0,15,-3.81331408312227
292.15,2.55607324545502,0,15,-3.81340598313463
292.15,2.55483249156157,0,15,-3.81349720985667
292.15,2.55360438589739,0,15,-3.81358777119388
292.15,2.55238878862113,0,15,-3.81367767496114
292.15,2.55118556115258,0,15,-3.81376692888368
292.15,2.54999456616781,0,15,-3.81385554059817
292.15,2.54881566759454,0,15,-3.81394351765372
